,phrase,label,sentiment,subjectivity,language,count
…,…,MISC,4.708333333333331,2.0749999999999997,de,200
"Some of the information stored on your device,","Some of the information stored on your device,",MISC,,,de,155
deutschen,deutschen,MISC,,,de,128
"nan When browsing with ads:
","nan When browsing with ads:
",MISC,,,de,67
deutsche,deutsche,MISC,,,de,47
russischen,russischen,MISC,,,de,44
"When browsing with ads:
","When browsing with ads:
",MISC,,,de,36
Deutsche,Deutsche,MISC,,,de,32
"nan When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.","nan When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.",MISC,,,de,31
europäischen,europäischen,MISC,,,de,28
ukrainischen,ukrainischen,MISC,,,de,27
russische,russische,MISC,,,de,25
russisches,russisches,MISC,,,de,23
Millionen,Millionen,MISC,,,de,19
Deutschen,Deutschen,MISC,,,de,19
russischer,russischer,MISC,,,de,19
Gaspreisbremse.,Gaspreisbremse.,MISC,0.22499999999999998,0.125,de,18
russischem,russischem,MISC,,,de,16
ukrainische,ukrainische,MISC,,,de,16
Berliner,Berliner,MISC,,,de,16
Gaspreisbremse,Gaspreisbremse,MISC,0.0063492063492063475,0.0,de,15
"When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.","When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.",MISC,,,de,15
Krieg in der Ukraine,Krieg in der Ukraine,MISC,,,de,15
Gaskrise,Gaskrise,MISC,,,de-DE,14
deutscher,deutscher,MISC,,,de,14
DER SPIEGEL.,DER SPIEGEL.,MISC,,,de,13
ePaper,ePaper,MISC,,,de,13
Ukraine-Krieg,Ukraine-Krieg,MISC,-0.2875,0.0,de,12
europäische,europäische,MISC,,,de,11
Winter.,Winter.,MISC,1.0,0.0,de,11
Nord Stream 2,Nord Stream 2,MISC,-0.425,0.0,de,11
Ampel-Koalition,Ampel-Koalition,MISC,,,de,11
Zeit,Zeit,MISC,,,de,10
Deutschland.,Deutschland.,MISC,0.13529411764705881,0.0,de,9
französische,französische,MISC,,,de,9
Weihnachten,Weihnachten,MISC,,,de,9
LNG-Terminal,LNG-Terminal,MISC,,,de,9
\u00fcberall.,\u00fcberall.,MISC,,,de,9
n-tv,n-tv,MISC,,,de,9
sächsische,sächsische,MISC,,,de,8
soziale,soziale,MISC,,,de,8
Krieg,Krieg,MISC,,,de,8
Blackout,Blackout,MISC,0.13999999999999999,0.0,de,8
RT DE.,RT DE.,MISC,,,de,7
österreichische,österreichische,MISC,,,de,7
Gas-Pipelines Nord Stream 1,Gas-Pipelines Nord Stream 1,MISC,,,de,7
Corona-Pandemie,Corona-Pandemie,MISC,,,de,6
russischen Angriffskrieges,russischen Angriffskrieges,MISC,,,de,6
Bundeskabinett,Bundeskabinett,MISC,,,de,6
Google,Google,MISC,,,de,6
Pandemie,Pandemie,MISC,,,de,6
niederländisches,niederländisches,MISC,,,de,6
deutsch-französische,deutsch-französische,MISC,,,de,5
französischen,französischen,MISC,,,de,5
BILD,BILD,MISC,,,de,5
Weltklimakonferenz,Weltklimakonferenz,MISC,,,de,5
Werbeerlösen,Werbeerlösen,MISC,,,de,5
Krieges,Krieges,MISC,,,de,5
Atomkraft.,Atomkraft.,MISC,,,de,5
Ukrainer,Ukrainer,MISC,,,de,5
Winter?,Winter?,MISC,,,de,5
Berliner Senat,Berliner Senat,MISC,,,de,5
Alarm.,Alarm.,MISC,,,de,5
katarischen,katarischen,MISC,,,de,4
niederländischen,niederländischen,MISC,,,de,4
türkischen,türkischen,MISC,,,de,4
Gas-Kommission,Gas-Kommission,MISC,0.5,0.0,de,4
Gaspipelines Nord Stream 1,Gaspipelines Nord Stream 1,MISC,,,de,4
Tages,Tages,MISC,,,de,4
Wear OS,Wear OS,MISC,,,de,4
Gaspipelines,Gaspipelines,MISC,-0.10000000000000002,0.0,de,4
Homeoffice,Homeoffice,MISC,,,de,4
Aufruf,Aufruf,MISC,,,de,4
UN-Klimakonferenz,UN-Klimakonferenz,MISC,,,de,4
Hamburger,Hamburger,MISC,,,de,4
Katars,Katars,MISC,,,de,4
Gaspreis-Kommission,Gaspreis-Kommission,MISC,,,de,4
Gas- und Fernwärmekunden,Gas- und Fernwärmekunden,MISC,,,de,4
Böllerverbote,Böllerverbote,MISC,,,de,4
Gazprom-Tochter.,Gazprom-Tochter.,MISC,,,de,4
LNG-Terminals,LNG-Terminals,MISC,-0.30000000000000004,0.0,de,4
Wintershall-Dea-Chef,Wintershall-Dea-Chef,MISC,,,de,4
Gas-Kartelle.,Gas-Kartelle.,MISC,,,de,3
iranische,iranische,MISC,,,de,3
TTF-Kontrakt,TTF-Kontrakt,MISC,,,de,3
Videos,Videos,MISC,,,de,3
Viren,Viren,MISC,,,de,3
Gasnetz,Gasnetz,MISC,,,de,3
